INV,INVOICE,C/CODE,CUSTOMER  NAME,CUSTOMER ADDRESS,ITEM,ITEMS NAME,CTN RATE,QUANTITY,,T/O,NET VALUE
17,14-Sep-21,9556,EASY MART,ZANGAL MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
17,14-Sep-21,9556,EASY MART,ZANGAL MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
18,14-Sep-21,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
18,14-Sep-21,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
18,14-Sep-21,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370
19,14-Sep-21,2242,INSAF HOTEL,,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180
20,14-Sep-21,9453,FAISAL G/S,LAL ZAR MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
21,14-Sep-21,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1758,DEEN'S CHEDDAR 200GM,20150,0,3,46,884
21,14-Sep-21,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,69,1311
21,14-Sep-21,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,5,73,1402
22,14-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
22,14-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
22,14-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
22,14-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
23,14-Sep-21,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
23,14-Sep-21,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
24,14-Sep-21,2148,FRIENDS SUPER STORE,NAWAB MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
24,14-Sep-21,2148,FRIENDS SUPER STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
25,14-Sep-21,2206,INSAF SUPER STORE,NAWAB MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
25,14-Sep-21,2206,INSAF SUPER STORE,NAWAB MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
25,14-Sep-21,2206,INSAF SUPER STORE,NAWAB MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
25,14-Sep-21,2206,INSAF SUPER STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180
26,14-Sep-21,2023,ARYANA S/S,Nawab Market,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860
26,14-Sep-21,2023,ARYANA S/S,Nawab Market,1760,DEEN'S MOZARELLA 200GM,22425,0,8,0,2760
26,14-Sep-21,2023,ARYANA S/S,Nawab Market,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
26,14-Sep-21,2023,ARYANA S/S,Nawab Market,1763,DEEN'S SLICE CHEESE 200GM,23600,0,6,0,1770
27,14-Sep-21,2223,KHATTAK STORE,NAWAB MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
27,14-Sep-21,2223,KHATTAK STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
28,14-Sep-21,9347,NOOR GS,ZANGAL MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
28,14-Sep-21,9347,NOOR GS,ZANGAL MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370
29,14-Sep-21,9306,DIL PASAND,BANGHASH MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
29,14-Sep-21,9306,DIL PASAND,BANGHASH MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
29,14-Sep-21,9306,DIL PASAND,BANGHASH MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
29,14-Sep-21,9306,DIL PASAND,BANGHASH MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
30,14-Sep-21,9415,ASAD G/S,BANGASH MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
30,14-Sep-21,9415,ASAD G/S,BANGASH MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
30,14-Sep-21,9415,ASAD G/S,BANGASH MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
30,14-Sep-21,9415,ASAD G/S,BANGASH MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
31,14-Sep-21,9443,HABIBI KHATTAK,TATARA MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
31,14-Sep-21,9443,HABIBI KHATTAK,TATARA MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
31,14-Sep-21,9443,HABIBI KHATTAK,TATARA MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
32,14-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
32,14-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
33,14-Sep-21,2323,AZIZ TD,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,6,600,8100
33,14-Sep-21,2323,AZIZ TD,SITARA MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,6,450,11100
33,14-Sep-21,2323,AZIZ TD,SITARA MARKET,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,6,180,5220
34,14-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,0,1800
35,14-Sep-21,9929,I B TRDER,,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,0,1015,13485
35,14-Sep-21,9929,I B TRDER,,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,1,0,1347,17903
35,14-Sep-21,9929,I B TRDER,,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,10,630,8370
36,14-Sep-21,2132,FREE SAMPLING,,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
36,14-Sep-21,2132,FREE SAMPLING,,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
36,14-Sep-21,2132,FREE SAMPLING,,1763,DEEN'S SLICE CHEESE 200GM,23600,0,1,0,295
37,15-Sep-21,2100,MR MART,NASIR BAGH ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860
37,15-Sep-21,2100,MR MART,NASIR BAGH ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070
37,15-Sep-21,2100,MR MART,NASIR BAGH ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,8,0,2360
37,15-Sep-21,2100,MR MART,NASIR BAGH ROAD,1761,DEEN'S MOZARELLA 400GM,23400,0,2,0,1300
38,15-Sep-21,2171,ASKARI 6,NASIR BAGH ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240
38,15-Sep-21,2171,ASKARI 6,NASIR BAGH ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
38,15-Sep-21,2171,ASKARI 6,NASIR BAGH ROAD,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
38,15-Sep-21,2171,ASKARI 6,NASIR BAGH ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,5,0,1475
39,15-Sep-21,9965,RAINBOW STORE,TOWN,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240
39,15-Sep-21,9965,RAINBOW STORE,TOWN,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180
40,15-Sep-21,2043,GUL SUPER STORE,University Town,1758,DEEN'S CHEDDAR 200GM,20150,0,7,108,2062
40,15-Sep-21,2043,GUL SUPER STORE,University Town,1760,DEEN'S MOZARELLA 200GM,22425,0,6,103,1967
40,15-Sep-21,2043,GUL SUPER STORE,University Town,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,7,129,2461
40,15-Sep-21,2043,GUL SUPER STORE,University Town,1763,DEEN'S SLICE CHEESE 200GM,23600,0,7,103,1962
41,15-Sep-21,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
41,15-Sep-21,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
41,15-Sep-21,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180
42,15-Sep-21,2380,NOOR BAKER'S,OLD BARA ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,6,0,1770
43,15-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
43,15-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
44,15-Sep-21,9575,BILAL O/B,,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,1,100,1350
45,16-Sep-21,2232,MASOOD  G/S,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050
46,16-Sep-21,2009,HIDAYAT G/S,Rohela Market,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
46,16-Sep-21,2009,HIDAYAT G/S,Rohela Market,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
46,16-Sep-21,2009,HIDAYAT G/S,Rohela Market,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
47,16-Sep-21,2354,HASSAN  GENERAL STORE,SUPER MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
47,16-Sep-21,2354,HASSAN  GENERAL STORE,SUPER MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
48,16-Sep-21,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
48,16-Sep-21,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
48,16-Sep-21,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
48,16-Sep-21,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
49,16-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
49,16-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
50,16-Sep-21,9030,CAFE 24,RASHAQAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,8,0,11600
50,16-Sep-21,9030,CAFE 24,RASHAQAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,4,0,7700
51,17-Sep-21,8906,P C SHAWARMA,SADAR,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,1,30,870
52,17-Sep-21,2277,KHURSHEED GENERAL STORE,GUL BERG NO 2,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
53,17-Sep-21,3464,DAY & NIGHT,OLD BARA ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,0,1380
54,17-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050
54,17-Sep-21,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,3,225,5550
55,17-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
55,17-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
56,17-Sep-21,2103,SHAHI PALACE 2,TOWN,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,0,1800
57,18-Sep-21,2354,HASSAN  GENERAL STORE,SUPER MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
57,18-Sep-21,2354,HASSAN  GENERAL STORE,SUPER MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
58,18-Sep-21,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
58,18-Sep-21,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
59,18-Sep-21,6544,CHATRAL,CAMPUS,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
59,18-Sep-21,6544,CHATRAL,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
59,18-Sep-21,6544,CHATRAL,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
60,18-Sep-21,8939,HILAL FOOD,SADAR,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,60,1740
61,18-Sep-21,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930
61,18-Sep-21,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
61,18-Sep-21,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
61,18-Sep-21,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,1,100,1350
61,18-Sep-21,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,1,75,1850
62,18-Sep-21,2274,KHAWAJA GENERAL STORE,ASIA GATE,1758,DEEN'S CHEDDAR 200GM,20150,0,3,46,884
62,18-Sep-21,2274,KHAWAJA GENERAL STORE,ASIA GATE,1760,DEEN'S MOZARELLA 200GM,22425,0,2,31,659
62,18-Sep-21,2274,KHAWAJA GENERAL STORE,ASIA GATE,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,18,352
62,18-Sep-21,2274,KHAWAJA GENERAL STORE,ASIA GATE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,44,841
63,18-Sep-21,6511,USMAN GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,69,1311
64,18-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,5,500,6750
64,18-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,5,375,9250
65,20-Sep-21,9389,SADAQAT JUICE,DALAZAQ ROAD  NEAR ALHAMRA,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,1,0,900
66,20-Sep-21,2213,AL HAMRA SUPER STORE,DILZAQ ROAD,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,6,111,2109
67,20-Sep-21,2369,SHABIR G/S,FAQERA ABAD,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
67,20-Sep-21,2369,SHABIR G/S,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
68,20-Sep-21,2330,NAWAZ GENERAL STORE,FAQERA ABAD,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
68,20-Sep-21,2330,NAWAZ GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690
69,20-Sep-21,2056,PESHAWRI G/S,Warsak Road,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590
70,20-Sep-21,9300,MOTI MEHAL BAKERS,MINHASH TAWAR WARSAK ROAD,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
70,20-Sep-21,9300,MOTI MEHAL BAKERS,MINHASH TAWAR WARSAK ROAD,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,1,0,900
71,20-Sep-21,8982,ASIF NAWAZ,NOWSHERA,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
71,20-Sep-21,8982,ASIF NAWAZ,NOWSHERA,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
72,20-Sep-21,2391,SEVEN SUPER STORE,WARSAK ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860
72,20-Sep-21,2391,SEVEN SUPER STORE,WARSAK ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070
72,20-Sep-21,2391,SEVEN SUPER STORE,WARSAK ROAD,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110
72,20-Sep-21,2391,SEVEN SUPER STORE,WARSAK ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
73,20-Sep-21,9296,WARSAK MALL,WARSAK ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860
73,20-Sep-21,9296,WARSAK MALL,WARSAK ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070
73,20-Sep-21,9296,WARSAK MALL,WARSAK ROAD,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,6,0,2220
73,20-Sep-21,9296,WARSAK MALL,WARSAK ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,6,0,1770
74,20-Sep-21,9565,GUL S/S,IJAZ ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035
75,20-Sep-21,8942,JANI COUN,SADAR,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,0,1000,13500
75,20-Sep-21,8942,JANI COUN,SADAR,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,1,0,750,18500
76,20-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
76,20-Sep-21,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700
77,20-Sep-21,3452,KOKANE,ZUNGALI MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700
77,20-Sep-21,3452,KOKANE,ZUNGALI MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,1,75,1850
78,20-Sep-21,9557,SHAHZAD G/S,,1761,DEEN'S MOZARELLA 400GM,23400,0,1,50,600
79,20-Sep-21,2069,CHIEF BURGER,UNIVERSITY ROAD,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,0,1000,13500
80,21-Sep-21,9929,I B TRDER,,1758,DEEN'S CHEDDAR 200GM,20150,1,0,1410,18740
80,21-Sep-21,9929,I B TRDER,,1760,DEEN'S MOZARELLA 200GM,22425,1,0,1569,20856
80,21-Sep-21,9929,I B TRDER,,1763,DEEN'S SLICE CHEESE 200GM,23600,1,0,1652,21948
80,21-Sep-21,9929,I B TRDER,,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,0,1015,13485
80,21-Sep-21,9929,I B TRDER,,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,1,0,1347,17903
80,21-Sep-21,9929,I B TRDER,,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,50,1295,17205
81,21-Sep-21,9556,EASY MART,ZANGAL MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345
81,21-Sep-21,9556,EASY MART,ZANGAL MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370
81,21-Sep-21,9556,EASY MART,ZANGAL MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,1,0,295
82,21-Sep-21,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1758,DEEN'S CHEDDAR 200GM,20150,0,3,27,903
82,21-Sep-21,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,5,44,1431
83,21-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310
83,21-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740
83,21-Sep-21,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885
84,21-Sep-21,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620
84,21-Sep-21,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370
