No,Date,C/code,Customer_name,Customer_address,Item_code,Product_name,Orignal_price,CTN,PCS,Total_discount,Discount_price,PCS_in_CTN,Price_per_PCS,Discount_per_piece,Month,Price Range,Has_Discount
8,2021-09-11,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345,72,311.4583333333333,0.0,9,Low,0
8,2021-09-11,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
9,2021-09-11,6511,USMAN GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,62,2008,72,311.4583333333333,10.333333333333334,9,Low,1
10,2021-09-11,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,4,400,5400,10,1450.0,100.0,9,Low,1
10,2021-09-11,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,4,300,7400,10,1925.0,75.0,9,Low,1
11,2021-09-13,9373,BANGASH G/S,DEFENCE,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310,72,279.8611111111111,0.0,9,Low,0
11,2021-09-13,9373,BANGASH G/S,DEFENCE,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345,72,311.4583333333333,0.0,9,Low,0
11,2021-09-13,9373,BANGASH G/S,DEFENCE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
12,2021-09-13,9927,RIYAN GENERAL STORE,DEFENCE,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
12,2021-09-13,9927,RIYAN GENERAL STORE,DEFENCE,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
12,2021-09-13,9927,RIYAN GENERAL STORE,DEFENCE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
13,2021-09-13,2056,PESHAWRI G/S,Warsak Road,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
13,2021-09-13,2056,PESHAWRI G/S,Warsak Road,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
14,2021-09-13,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
14,2021-09-13,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
15,2021-09-13,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
15,2021-09-13,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1759,DEEN'S CHEDDAR 400GM,20700,0,3,0,1725,36,575.0,0.0,9,Low,0
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1761,DEEN'S MOZARELLA 400GM,23400,0,3,0,1950,36,650.0,0.0,9,Low,0
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050,10,1450.0,100.0,9,Low,1
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
16,2021-09-13,2232,MASOOD  G/S,SITARA MARKET,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,60,1740,16,900.0,30.0,9,Low,1
17,2021-09-14,9556,EASY MART,ZANGAL MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
17,2021-09-14,9556,EASY MART,ZANGAL MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
17,2021-09-14,9556,EASY MART,ZANGAL MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
18,2021-09-14,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
18,2021-09-14,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345,72,311.4583333333333,0.0,9,Low,0
18,2021-09-14,2161,SAMI GENERAL STORE,JAMAL UD DIN MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370,72,334.02777777777777,0.0,9,Low,0
19,2021-09-14,2242,INSAF HOTEL,JAMAL UD DIN MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180,80,295.0,0.0,9,Low,0
20,2021-09-14,9453,FAISAL G/S,LAL ZAR MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
21,2021-09-14,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1758,DEEN'S CHEDDAR 200GM,20150,0,3,46,884,72,279.8611111111111,15.333333333333334,9,Low,1
21,2021-09-14,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,69,1311,72,311.4583333333333,17.25,9,Low,1
21,2021-09-14,2118,TOP TOWN,TORANGZAI MARKET HAYATBAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,5,73,1402,80,295.0,14.6,9,Low,1
22,2021-09-14,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
22,2021-09-14,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
22,2021-09-14,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
22,2021-09-14,9451,ZAFAR G/S,HAYATABAD TURANGZAI MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
23,2021-09-14,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
23,2021-09-14,2128,BROTHERS G/STORE,IBRAHIMI MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
24,2021-09-14,2148,FRIENDS SUPER STORE,NAWAB MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
24,2021-09-14,2148,FRIENDS SUPER STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
25,2021-09-14,2206,INSAF SUPER STORE,NAWAB MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
25,2021-09-14,2206,INSAF SUPER STORE,NAWAB MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
25,2021-09-14,2206,INSAF SUPER STORE,NAWAB MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740,72,334.02777777777777,0.0,9,Low,0
25,2021-09-14,2206,INSAF SUPER STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180,80,295.0,0.0,9,Low,0
26,2021-09-14,2023,ARYANA S/S,Nawab Market,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860,72,279.8611111111111,0.0,9,Low,0
26,2021-09-14,2023,ARYANA S/S,Nawab Market,1760,DEEN'S MOZARELLA 200GM,22425,0,8,0,2760,72,311.4583333333333,0.0,9,Low,0
26,2021-09-14,2023,ARYANA S/S,Nawab Market,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
26,2021-09-14,2023,ARYANA S/S,Nawab Market,1763,DEEN'S SLICE CHEESE 200GM,23600,0,6,0,1770,80,295.0,0.0,9,Low,0
27,2021-09-14,2223,KHATTAK STORE,NAWAB MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310,72,279.8611111111111,0.0,9,Low,0
27,2021-09-14,2223,KHATTAK STORE,NAWAB MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
28,2021-09-14,9347,NOOR GS,ZANGAL MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310,72,279.8611111111111,0.0,9,Low,0
28,2021-09-14,9347,NOOR GS,ZANGAL MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,0,370,72,334.02777777777777,0.0,9,Low,0
29,2021-09-14,9306,DIL PASAND,BANGHASH MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
29,2021-09-14,9306,DIL PASAND,BANGHASH MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
29,2021-09-14,9306,DIL PASAND,BANGHASH MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
29,2021-09-14,9306,DIL PASAND,BANGHASH MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
30,2021-09-14,9415,ASAD G/S,BANGASH MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
30,2021-09-14,9415,ASAD G/S,BANGASH MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
30,2021-09-14,9415,ASAD G/S,BANGASH MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740,72,334.02777777777777,0.0,9,Low,0
30,2021-09-14,9415,ASAD G/S,BANGASH MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
31,2021-09-14,9443,HABIBI KHATTAK,TATARA MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
31,2021-09-14,9443,HABIBI KHATTAK,TATARA MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
31,2021-09-14,9443,HABIBI KHATTAK,TATARA MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
32,2021-09-14,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
32,2021-09-14,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
33,2021-09-14,2323,AZIZ TD,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,6,600,8100,10,1450.0,100.0,9,Low,1
33,2021-09-14,2323,AZIZ TD,SITARA MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,6,450,11100,10,1925.0,75.0,9,Low,1
33,2021-09-14,2323,AZIZ TD,SITARA MARKET,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,6,180,5220,16,900.0,30.0,9,Low,1
34,2021-09-14,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,0,1800,16,900.0,0.0,9,Low,0
35,2021-09-14,9929,I B TRDER,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,1,10,1015,13485,10,1450.0,101.5,9,Low,1
35,2021-09-14,9929,I B TRDER,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,1,10,1347,17903,10,1925.0,134.7,9,Low,1
35,2021-09-14,9929,I B TRDER,MOHMAD ZAI,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,10,630,8370,16,900.0,63.0,9,Low,1
36,2021-09-14,2132,FREE SAMPLING,MOHMAD ZAI,1758,DEEN'S CHEDDAR 200GM,20150,0,1,0,310,72,279.8611111111111,0.0,9,Low,0
36,2021-09-14,2132,FREE SAMPLING,MOHMAD ZAI,1760,DEEN'S MOZARELLA 200GM,22425,0,1,0,345,72,311.4583333333333,0.0,9,Low,0
36,2021-09-14,2132,FREE SAMPLING,MOHMAD ZAI,1763,DEEN'S SLICE CHEESE 200GM,23600,0,1,0,295,80,295.0,0.0,9,Low,0
37,2021-09-15,2100,MR MART,NASIR BAGH ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,6,0,1860,72,279.8611111111111,0.0,9,Low,0
37,2021-09-15,2100,MR MART,NASIR BAGH ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,6,0,2070,72,311.4583333333333,0.0,9,Low,0
37,2021-09-15,2100,MR MART,NASIR BAGH ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,8,0,2360,80,295.0,0.0,9,Low,0
37,2021-09-15,2100,MR MART,NASIR BAGH ROAD,1761,DEEN'S MOZARELLA 400GM,23400,0,2,0,1300,36,650.0,0.0,9,Low,0
38,2021-09-15,2171,ASKARI 6,NASIR BAGH ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240,72,279.8611111111111,0.0,9,Low,0
38,2021-09-15,2171,ASKARI 6,NASIR BAGH ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
38,2021-09-15,2171,ASKARI 6,NASIR BAGH ROAD,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
38,2021-09-15,2171,ASKARI 6,NASIR BAGH ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,5,0,1475,80,295.0,0.0,9,Low,0
39,2021-09-15,9965,RAINBOW STORE,TOWN,1758,DEEN'S CHEDDAR 200GM,20150,0,4,0,1240,72,279.8611111111111,0.0,9,Low,0
39,2021-09-15,9965,RAINBOW STORE,TOWN,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180,80,295.0,0.0,9,Low,0
40,2021-09-15,2043,GUL SUPER STORE,University Town,1758,DEEN'S CHEDDAR 200GM,20150,0,7,108,2062,72,279.8611111111111,15.428571428571429,9,Low,1
40,2021-09-15,2043,GUL SUPER STORE,University Town,1760,DEEN'S MOZARELLA 200GM,22425,0,6,103,1967,72,311.4583333333333,17.166666666666668,9,Low,1
40,2021-09-15,2043,GUL SUPER STORE,University Town,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,7,129,2461,72,334.02777777777777,18.428571428571427,9,Low,1
40,2021-09-15,2043,GUL SUPER STORE,University Town,1763,DEEN'S SLICE CHEESE 200GM,23600,0,7,103,1962,80,295.0,14.714285714285714,9,Low,1
41,2021-09-15,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
41,2021-09-15,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
41,2021-09-15,5421,TOWN LIGHT BAKER,OLD BARA ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,4,0,1180,80,295.0,0.0,9,Low,0
42,2021-09-15,2380,NOOR BAKER'S,OLD BARA ROAD,1763,DEEN'S SLICE CHEESE 200GM,23600,0,6,0,1770,80,295.0,0.0,9,Low,0
43,2021-09-15,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
43,2021-09-15,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
44,2021-09-15,9575,BILAL O/B,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,1,100,1350,10,1450.0,100.0,9,Low,1
45,2021-09-16,2232,MASOOD  G/S,SITARA MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050,10,1450.0,100.0,9,Low,1
46,2021-09-16,2009,HIDAYAT G/S,Rohela Market,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
46,2021-09-16,2009,HIDAYAT G/S,Rohela Market,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
46,2021-09-16,2009,HIDAYAT G/S,Rohela Market,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
47,2021-09-16,2354,HASSAN  GENERAL STORE,SUPER MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
47,2021-09-16,2354,HASSAN  GENERAL STORE,SUPER MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
48,2021-09-16,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1758,DEEN'S CHEDDAR 200GM,20150,0,2,0,620,72,279.8611111111111,0.0,9,Low,0
48,2021-09-16,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
48,2021-09-16,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740,72,334.02777777777777,0.0,9,Low,0
48,2021-09-16,9267,DAWAR GENERAL STORE,M ZAI  MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
49,2021-09-16,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
49,2021-09-16,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
50,2021-09-16,9030,CAFE 24,RASHAQAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,8,0,11600,10,1450.0,0.0,9,Low,0
50,2021-09-16,9030,CAFE 24,RASHAQAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,4,0,7700,10,1925.0,0.0,9,Low,0
51,2021-09-17,8906,P C SHAWARMA,SADAR,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,1,30,870,16,900.0,30.0,9,Low,1
52,2021-09-17,2277,KHURSHEED GENERAL STORE,GUL BERG NO 2,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
53,2021-09-17,3464,DAY & NIGHT,OLD BARA ROAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,0,1380,72,311.4583333333333,0.0,9,Low,0
54,2021-09-17,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,3,300,4050,10,1450.0,100.0,9,Low,1
54,2021-09-17,9903,CHIL & GRILL 0312.9553655,MOHMAD ZAI,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,3,225,5550,10,1925.0,75.0,9,Low,1
55,2021-09-17,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,2,200,2700,10,1450.0,100.0,9,Low,1
55,2021-09-17,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,2,150,3700,10,1925.0,75.0,9,Low,1
56,2021-09-17,2103,SHAHI PALACE 2,TOWN,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,0,1800,16,900.0,0.0,9,Low,0
57,2021-09-18,2354,HASSAN  GENERAL STORE,SUPER MARKET,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
57,2021-09-18,2354,HASSAN  GENERAL STORE,SUPER MARKET,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,0,885,80,295.0,0.0,9,Low,0
58,2021-09-18,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
58,2021-09-18,9031,UNIVERSITY BAKERS 03335992712,PESHAWAR UNIVERSITY,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
59,2021-09-18,6544,CHATRAL,CAMPUS,1760,DEEN'S MOZARELLA 200GM,22425,0,2,0,690,72,311.4583333333333,0.0,9,Low,0
59,2021-09-18,6544,CHATRAL,CAMPUS,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,2,0,740,72,334.02777777777777,0.0,9,Low,0
59,2021-09-18,6544,CHATRAL,CAMPUS,1763,DEEN'S SLICE CHEESE 200GM,23600,0,2,0,590,80,295.0,0.0,9,Low,0
60,2021-09-18,8939,HILAL FOOD,SADAR,1772,DEEN'S SLICE CHEESE 1 KG,14400,0,2,60,1740,16,900.0,30.0,9,Low,1
61,2021-09-18,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1758,DEEN'S CHEDDAR 200GM,20150,0,3,0,930,72,279.8611111111111,0.0,9,Low,0
61,2021-09-18,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1760,DEEN'S MOZARELLA 200GM,22425,0,3,0,1035,72,311.4583333333333,0.0,9,Low,0
61,2021-09-18,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,3,0,1110,72,334.02777777777777,0.0,9,Low,0
61,2021-09-18,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,1,100,1350,10,1450.0,100.0,9,Low,1
61,2021-09-18,2186,HAMDAN BAKERS,SADADR FAWARA CHOWK,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,1,75,1850,10,1925.0,75.0,9,Low,1
62,2021-09-18,2274,KHAWAJA GENERAL STORE,ASIA GATE,1758,DEEN'S CHEDDAR 200GM,20150,0,3,46,884,72,279.8611111111111,15.333333333333334,9,Low,1
62,2021-09-18,2274,KHAWAJA GENERAL STORE,ASIA GATE,1760,DEEN'S MOZARELLA 200GM,22425,0,2,31,659,72,311.4583333333333,15.5,9,Low,1
62,2021-09-18,2274,KHAWAJA GENERAL STORE,ASIA GATE,1762,DEEN'S PIZZA CHEESE 200GM,24050,0,1,18,352,72,334.02777777777777,18.0,9,Low,1
62,2021-09-18,2274,KHAWAJA GENERAL STORE,ASIA GATE,1763,DEEN'S SLICE CHEESE 200GM,23600,0,3,44,841,80,295.0,14.666666666666666,9,Low,1
63,2021-09-18,6511,USMAN GENERAL STORE,FAQERA ABAD,1760,DEEN'S MOZARELLA 200GM,22425,0,4,69,1311,72,311.4583333333333,17.25,9,Low,1
64,2021-09-18,8992,PIZZA FLAME,IBRAHIM MARKET,1770,DEEN'S CHADDER CHEESE BLOCK 2K,14500,0,5,500,6750,10,1450.0,100.0,9,Low,1
64,2021-09-18,8992,PIZZA FLAME,IBRAHIM MARKET,1771,DEEN'S MOZRELLA CHEESE BLOCK,19250,0,5,375,9250,10,1925.0,75.0,9,Low,1
